dataset,field_name,field_short_desc,field_long_desc,calc_method_desc
v_roi_202111_gamma_eircode_ta,cudmax1000,Maximum Depth of Flooding in the Coastal Undefended 1000-year Extent in Meters ,,
v_roi_202111_gamma_eircode_ta,swaterrp,Return Period at which Modelled Undefended Surface Water Flooding First Occurs,,
v_roi_202111_gamma_eircode_ta,swmax75,Maximum Depth of Flooding in the Surface Water Undefended 75-year Extent in Meters ,,
v_roi_202111_gamma_eircode_ta,swmax200,Maximum Depth of Flooding in the Surface Water Undefended 200-year Extent in Meters ,,
v_roi_202111_gamma_eircode_ta,swmax1000,Maximum Depth of Flooding in the Surface Water Undefended 1000-year Extent in Meters ,,
v_roi_202111_gamma_eircode_ta,model_river,Is Property Modelled for Undefended River Flood - Boolean,,
v_roi_202111_gamma_eircode_ta,model_coastal,Is Property Modelled for Coastal Flood - Boolean,,
v_roi_202111_gamma_eircode_ta,model_sw,Is Property Modelled for Surface Water Flood - Boolean,,
v_roi_202111_gamma_eircode_ta,r20matrix,River Undefended 20-year Flood Score,,
v_roi_202111_gamma_eircode_ta,r75matrix,River Undefended 75-year Flood Score,,
v_roi_202111_gamma_eircode_ta,r100matrix,River Undefended 100-year Flood Score,,
v_roi_202111_gamma_eircode_ta,r200matrix,River Undefended 200-year Flood Score,,
v_roi_202111_gamma_eircode_ta,r1000matrix,River Undefended 1000-year Flood Score,,
v_roi_202111_gamma_eircode_ta,cud75matrix,Coastal Undefended 75-year Flood Score,,
v_roi_202111_gamma_eircode_ta,cud100matrix,Coastal Undefended 100-year Flood Score,,
v_roi_202111_gamma_eircode_ta,cud200matrix,Coastal Undefended 200-year Flood Score,,
v_roi_202111_gamma_eircode_ta,cud1000matrix,Coastal Undefended 1000-year Flood Score,,
v_roi_202111_gamma_eircode_ta,sw75matrix,Surface Water 75-year Flood Score,,
v_roi_202111_gamma_eircode_ta,sw200matrix,Surface Water 200-year Flood Score,,
v_roi_202111_gamma_eircode_ta,sw1000matrix,Surface Water 1000-year Flood Score,,
v_roi_202111_gamma_eircode_ta,river_floodscore_ud,Highest Undefended River Flood Score,,
v_roi_202111_gamma_eircode_ta,coastal_floodscore_ud,Highest Undefended Coastal Flood Score,,
v_roi_202111_gamma_eircode_ta,surfacewater_floodscore_ud,Highest Undefended Surface Water Flood Score,,
v_roi_202111_gamma_eircode_ta,river_floodscore_def,Highest Defended River Flood Score,,
v_roi_202111_gamma_eircode_ta,floodscore_ud,"Combined Score - Undefended River, Coastal and Surface Water",,
v_roi_202111_gamma_eircode_ta,floodscore_def,"Combined Score - Defended River, Coastal and Surface Water",,
v_roi_202111_gamma_eircode_ta,unflood_value,Minimum Flood Height Band for Property,,
v_roi_202111_gamma_eircode_ta,unflood_heightband,Description of Minimum Flood Height Band for Property,,
v_roi_202111_gamma_eircode_ta,floodability_index_ud,"Flood Risk Colour Rating - Undefended River, Coastal and Surface Water",,
v_roi_202111_gamma_eircode_ta,floodability_index_def,"Flood Risk Colour Rating - Defended River, Coastal and Surface Water",,
