ecad_id,Asset_id,Program/product,term,Rate/margin,Disbursment Data ( start MTG Date),Completion Data ( Closing MTG Date),Initial Borrow capital,Loan to Value,Monthly repayment,Next due payment date,Monthly capital repayment with zero interest,Months already paid,Months due paid,Property Valuation,Customer Initial deposit
1700049610,10000014,5/1 ARM,360,0.0620,14/01/2017,14/01/2047,760000,0.9000,"£4,654.77",01/02/2023,"£2,111.12",84,276,844444.4444,84444.44444
1700050171,10000015,15Yr fixed,360,0.0635,15/01/2017,15/01/2047,250000,0.8500,"£1,555.59",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700050172,10000016,30Yr fixed,360,0.0530,16/01/2017,16/01/2047,250000,0.7500,"£1,388.27",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700050585,10000017,5/1 ARM,360,0.0620,17/01/2017,17/01/2047,300000,0.8000,"£1,837.41",01/02/2023,£833.34,84,276,375000,75000
1700050609,10000018,15Yr fixed,360,0.0635,18/01/2017,18/01/2047,365000,0.9000,"£2,271.17",01/02/2023,"£1,013.89",84,276,405555.5556,40555.55556
1700050677,10000019,30Yr fixed,360,0.0530,19/01/2017,19/01/2047,400000,0.8500,"£2,221.22",01/02/2023,"£1,111.12",84,276,470588.2353,70588.23529
1700051040,10000020,5/1 ARM,360,0.0620,20/01/2017,20/01/2047,250000,0.7500,"£1,531.18",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700051235,10000021,15Yr fixed,360,0.0635,21/01/2017,21/01/2047,450000,0.8000,"£2,800.07",01/02/2023,"£1,250.01",84,276,562500,112500
1700052639,10000022,30Yr fixed,360,0.0530,22/01/2017,22/01/2047,250000,0.9000,"£1,388.27",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700053128,10000023,5/1 ARM,360,0.0620,23/01/2017,23/01/2047,250000,0.8500,"£1,531.18",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700053636,10000024,15Yr fixed,360,0.0635,24/01/2017,24/01/2047,600000,0.7500,"£3,733.42",01/02/2023,"£1,666.67",84,276,800000,200000
1700054067,10000025,30Yr fixed,360,0.0530,25/01/2017,25/01/2047,250000,0.8000,"£1,388.27",01/02/2023,£694.45,84,276,312500,62500
1700054068,10000026,5/1 ARM,360,0.0620,26/01/2017,26/01/2047,250500,0.9000,"£1,534.24",01/02/2023,£695.84,84,276,278333.3333,27833.33333
1700054945,10000027,15Yr fixed,360,0.0635,27/01/2017,27/01/2047,345000,0.8500,"£2,146.72",01/02/2023,£958.34,84,276,405882.3529,60882.35294
1700055479,10000028,30Yr fixed,360,0.0530,28/01/2017,28/01/2047,317000,0.7500,"£1,760.32",01/02/2023,£880.56,84,276,422666.6667,105666.6667
1700055814,10000029,5/1 ARM,360,0.0620,29/01/2017,29/01/2047,760000,0.8000,"£4,654.77",01/02/2023,"£2,111.12",84,276,950000,190000
1700056017,10000030,15Yr fixed,360,0.0635,30/01/2017,30/01/2047,250000,0.9000,"£1,555.59",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700056360,10000031,30Yr fixed,360,0.0530,31/01/2017,31/01/2047,250000,0.8500,"£1,388.27",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700057110,10000032,5/1 ARM,360,0.0620,01/02/2017,01/02/2047,300000,0.7500,"£1,837.41",01/02/2023,£833.34,84,276,400000,100000
1700057166,10000033,15Yr fixed,360,0.0635,02/02/2017,02/02/2047,365000,0.8000,"£2,271.17",01/02/2023,"£1,013.89",84,276,456250,91250
1700057306,10000034,30Yr fixed,360,0.0530,03/02/2017,03/02/2047,400000,0.9000,"£2,221.22",01/02/2023,"£1,111.12",84,276,444444.4444,44444.44444
1700057763,10000035,5/1 ARM,360,0.0620,04/02/2017,04/02/2047,250000,0.8500,"£1,531.18",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700059739,10000036,15Yr fixed,360,0.0635,05/02/2017,05/02/2047,450000,0.7500,"£2,800.07",01/02/2023,"£1,250.01",84,276,600000,150000
1700059759,10000037,30Yr fixed,360,0.0530,06/02/2017,06/02/2047,250000,0.8000,"£1,388.27",01/02/2023,£694.45,84,276,312500,62500
1700061658,10000038,5/1 ARM,360,0.0620,07/02/2017,07/02/2047,250000,0.9000,"£1,531.18",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700063764,10000039,15Yr fixed,360,0.0635,08/02/2017,08/02/2047,600000,0.8500,"£3,733.42",01/02/2023,"£1,666.67",84,276,705882.3529,105882.3529
1700063873,10000040,30Yr fixed,360,0.0530,09/02/2017,09/02/2047,250000,0.7500,"£1,388.27",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700064971,10000041,5/1 ARM,360,0.0620,10/02/2017,10/02/2047,250500,0.8000,"£1,534.24",01/02/2023,£695.84,84,276,313125,62625
1700065499,10000042,15Yr fixed,360,0.0635,11/02/2017,11/02/2047,345000,0.9000,"£2,146.72",01/02/2023,£958.34,84,276,383333.3333,38333.33333
1700067964,10000043,30Yr fixed,360,0.0530,12/02/2017,12/02/2047,317000,0.8500,"£1,760.32",01/02/2023,£880.56,84,276,372941.1765,55941.17647
1700068180,10000044,5/1 ARM,360,0.0620,13/02/2017,13/02/2047,760000,0.7500,"£4,654.77",01/02/2023,"£2,111.12",84,276,1013333.333,253333.3333
1700069702,10000045,15Yr fixed,360,0.0635,14/02/2017,14/02/2047,250000,0.8000,"£1,555.59",01/02/2023,£694.45,84,276,312500,62500
1700070521,10000046,30Yr fixed,360,0.0530,15/02/2017,15/02/2047,250000,0.9000,"£1,388.27",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700070658,10000047,5/1 ARM,360,0.0620,16/02/2017,16/02/2047,300000,0.8500,"£1,837.41",01/02/2023,£833.34,84,276,352941.1765,52941.17647
1700071937,10000048,15Yr fixed,360,0.0635,17/02/2017,17/02/2047,365000,0.7500,"£2,271.17",01/02/2023,"£1,013.89",84,276,486666.6667,121666.6667
1700071945,10000049,30Yr fixed,360,0.0530,18/02/2017,18/02/2047,400000,0.8000,"£2,221.22",01/02/2023,"£1,111.12",84,276,500000,100000
1700072566,10000050,5/1 ARM,360,0.0620,19/02/2017,19/02/2047,250000,0.9000,"£1,531.18",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700073339,10000051,15Yr fixed,360,0.0635,20/02/2017,20/02/2047,450000,0.8500,"£2,800.07",01/02/2023,"£1,250.01",84,276,529411.7647,79411.76471
1700073357,10000052,30Yr fixed,360,0.0530,21/02/2017,21/02/2047,250000,0.7500,"£1,388.27",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700073513,10000053,5/1 ARM,360,0.0620,22/02/2017,22/02/2047,250000,0.8000,"£1,531.18",01/02/2023,£694.45,84,276,312500,62500
1700074342,10000054,15Yr fixed,360,0.0635,23/02/2017,23/02/2047,600000,0.9000,"£3,733.42",01/02/2023,"£1,666.67",84,276,666666.6667,66666.66667
1700075229,10000055,30Yr fixed,360,0.0530,24/02/2017,24/02/2047,250000,0.8500,"£1,388.27",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700075315,10000056,5/1 ARM,360,0.0620,25/02/2017,25/02/2047,250500,0.7500,"£1,534.24",01/02/2023,£695.84,84,276,334000,83500
1700075639,10000057,15Yr fixed,360,0.0635,26/02/2017,26/02/2047,345000,0.8000,"£2,146.72",01/02/2023,£958.34,84,276,431250,86250
1700076690,10000058,30Yr fixed,360,0.0530,27/02/2017,27/02/2047,317000,0.9000,"£1,760.32",01/02/2023,£880.56,84,276,352222.2222,35222.22222
1700077970,10000059,5/1 ARM,360,0.0620,28/02/2017,28/02/2047,760000,0.8500,"£4,654.77",01/02/2023,"£2,111.12",84,276,894117.6471,134117.6471
1700078299,10000060,15Yr fixed,360,0.0635,01/03/2017,01/03/2047,250000,0.7500,"£1,555.59",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700079491,10000061,30Yr fixed,360,0.0530,02/03/2017,02/03/2047,250000,0.8000,"£1,388.27",01/02/2023,£694.45,84,276,312500,62500
1700079794,10000062,5/1 ARM,360,0.0620,03/03/2017,03/03/2047,300000,0.9000,"£1,837.41",01/02/2023,£833.34,84,276,333333.3333,33333.33333
1700082302,10000063,15Yr fixed,360,0.0635,04/03/2017,04/03/2047,365000,0.8500,"£2,271.17",01/02/2023,"£1,013.89",84,276,429411.7647,64411.76471
1700082847,10000064,30Yr fixed,360,0.0530,05/03/2017,05/03/2047,400000,0.7500,"£2,221.22",01/02/2023,"£1,111.12",84,276,533333.3333,133333.3333
1700083383,10000065,5/1 ARM,360,0.0620,06/03/2017,06/03/2047,250000,0.8000,"£1,531.18",01/02/2023,£694.45,84,276,312500,62500
1700085072,10000066,15Yr fixed,360,0.0635,07/03/2017,07/03/2047,450000,0.9000,"£2,800.07",01/02/2023,"£1,250.01",84,276,500000,50000
1700085109,10000067,30Yr fixed,360,0.0530,08/03/2017,08/03/2047,250000,0.8500,"£1,388.27",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700086973,10000068,5/1 ARM,360,0.0620,09/03/2017,09/03/2047,250000,0.7500,"£1,531.18",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700087055,10000069,15Yr fixed,360,0.0635,10/03/2017,10/03/2047,600000,0.8000,"£3,733.42",01/02/2023,"£1,666.67",84,276,750000,150000
1700088354,10000070,30Yr fixed,360,0.0530,11/03/2017,11/03/2047,250000,0.9000,"£1,388.27",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700089450,10000071,5/1 ARM,360,0.0620,12/03/2017,12/03/2047,250500,0.8500,"£1,534.24",01/02/2023,£695.84,84,276,294705.8824,44205.88235
1700089610,10000072,15Yr fixed,360,0.0635,13/03/2017,13/03/2047,345000,0.7500,"£2,146.72",01/02/2023,£958.34,84,276,460000,115000
1700090001,10000073,30Yr fixed,360,0.0530,14/03/2017,14/03/2047,317000,0.8000,"£1,760.32",01/02/2023,£880.56,84,276,396250,79250
1700090496,10000074,5/1 ARM,360,0.0620,15/03/2017,15/03/2047,760000,0.9000,"£4,654.77",01/02/2023,"£2,111.12",84,276,844444.4444,84444.44444
1700090498,10000075,15Yr fixed,360,0.0635,16/03/2017,16/03/2047,250000,0.8500,"£1,555.59",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700092546,10000076,30Yr fixed,360,0.0530,17/03/2017,17/03/2047,250000,0.7500,"£1,388.27",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700093081,10000077,5/1 ARM,360,0.0620,18/03/2017,18/03/2047,300000,0.8000,"£1,837.41",01/02/2023,£833.34,84,276,375000,75000
1700094405,10000078,15Yr fixed,360,0.0635,19/03/2017,19/03/2047,365000,0.9000,"£2,271.17",01/02/2023,"£1,013.89",84,276,405555.5556,40555.55556
1700094406,10000079,30Yr fixed,360,0.0530,20/03/2017,20/03/2047,400000,0.8500,"£2,221.22",01/02/2023,"£1,111.12",84,276,470588.2353,70588.23529
1700097267,10000080,5/1 ARM,360,0.0620,21/03/2017,21/03/2047,250000,0.7500,"£1,531.18",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700097996,10000081,15Yr fixed,360,0.0635,22/03/2017,22/03/2047,450000,0.8000,"£2,800.07",01/02/2023,"£1,250.01",84,276,562500,112500
1700102317,10000082,30Yr fixed,360,0.0530,23/03/2017,23/03/2047,250000,0.9000,"£1,388.27",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700102529,10000083,5/1 ARM,360,0.0620,24/03/2017,24/03/2047,250000,0.8500,"£1,531.18",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700104160,10000084,15Yr fixed,360,0.0635,25/03/2017,25/03/2047,600000,0.7500,"£3,733.42",01/02/2023,"£1,666.67",84,276,800000,200000
1700106491,10000085,30Yr fixed,360,0.0530,26/03/2017,26/03/2047,250000,0.8000,"£1,388.27",01/02/2023,£694.45,84,276,312500,62500
1700106524,10000086,5/1 ARM,360,0.0620,27/03/2017,27/03/2047,250500,0.9000,"£1,534.24",01/02/2023,£695.84,84,276,278333.3333,27833.33333
1700106616,10000087,15Yr fixed,360,0.0635,28/03/2017,28/03/2047,345000,0.8500,"£2,146.72",01/02/2023,£958.34,84,276,405882.3529,60882.35294
1700106621,10000088,30Yr fixed,360,0.0530,29/03/2017,29/03/2047,317000,0.7500,"£1,760.32",01/02/2023,£880.56,84,276,422666.6667,105666.6667
1700106889,10000089,5/1 ARM,360,0.0620,30/03/2017,30/03/2047,760000,0.8000,"£4,654.77",01/02/2023,"£2,111.12",84,276,950000,190000
1700107529,10000090,15Yr fixed,360,0.0635,31/03/2017,31/03/2047,250000,0.9000,"£1,555.59",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700107786,10000091,30Yr fixed,360,0.0530,01/04/2017,01/04/2047,250000,0.8500,"£1,388.27",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700108137,10000092,5/1 ARM,360,0.0620,02/04/2017,02/04/2047,300000,0.7500,"£1,837.41",01/02/2023,£833.34,84,276,400000,100000
1700108737,10000093,15Yr fixed,360,0.0635,03/04/2017,03/04/2047,365000,0.8000,"£2,271.17",01/02/2023,"£1,013.89",84,276,456250,91250
1700109442,10000094,30Yr fixed,360,0.0530,04/04/2017,04/04/2047,400000,0.9000,"£2,221.22",01/02/2023,"£1,111.12",84,276,444444.4444,44444.44444
1700110005,10000095,5/1 ARM,360,0.0620,05/04/2017,05/04/2047,250000,0.8500,"£1,531.18",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700110442,10000096,15Yr fixed,360,0.0635,06/04/2017,06/04/2047,450000,0.7500,"£2,800.07",01/02/2023,"£1,250.01",84,276,600000,150000
1700110643,10000097,30Yr fixed,360,0.0530,07/04/2017,07/04/2047,250000,0.8000,"£1,388.27",01/02/2023,£694.45,84,276,312500,62500
1700111117,10000098,5/1 ARM,360,0.0620,08/04/2017,08/04/2047,250000,0.9000,"£1,531.18",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700111121,10000099,15Yr fixed,360,0.0635,09/04/2017,09/04/2047,600000,0.8500,"£3,733.42",01/02/2023,"£1,666.67",84,276,705882.3529,105882.3529
1700111263,10000100,30Yr fixed,360,0.0530,10/04/2017,10/04/2047,250000,0.7500,"£1,388.27",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700111453,10000101,5/1 ARM,360,0.0620,11/04/2017,11/04/2047,250500,0.8000,"£1,534.24",01/02/2023,£695.84,84,276,313125,62625
1700111454,10000102,15Yr fixed,360,0.0635,12/04/2017,12/04/2047,345000,0.9000,"£2,146.72",01/02/2023,£958.34,84,276,383333.3333,38333.33333
1700111593,10000103,30Yr fixed,360,0.0530,13/04/2017,13/04/2047,317000,0.8500,"£1,760.32",01/02/2023,£880.56,84,276,372941.1765,55941.17647
1700112166,10000104,5/1 ARM,360,0.0620,14/04/2017,14/04/2047,760000,0.7500,"£4,654.77",01/02/2023,"£2,111.12",84,276,1013333.333,253333.3333
1700112272,10000105,15Yr fixed,360,0.0635,15/04/2017,15/04/2047,250000,0.8000,"£1,555.59",01/02/2023,£694.45,84,276,312500,62500
1700112273,10000106,30Yr fixed,360,0.0530,16/04/2017,16/04/2047,250000,0.9000,"£1,388.27",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700112274,10000107,5/1 ARM,360,0.0620,17/04/2017,17/04/2047,300000,0.8500,"£1,837.41",01/02/2023,£833.34,84,276,352941.1765,52941.17647
1700112349,10000108,15Yr fixed,360,0.0635,18/04/2017,18/04/2047,365000,0.7500,"£2,271.17",01/02/2023,"£1,013.89",84,276,486666.6667,121666.6667
1700112350,10000109,30Yr fixed,360,0.0530,19/04/2017,19/04/2047,400000,0.8000,"£2,221.22",01/02/2023,"£1,111.12",84,276,500000,100000
1700112912,10000110,5/1 ARM,360,0.0620,20/04/2017,20/04/2047,250000,0.9000,"£1,531.18",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700112944,10000111,15Yr fixed,360,0.0635,21/04/2017,21/04/2047,450000,0.8500,"£2,800.07",01/02/2023,"£1,250.01",84,276,529411.7647,79411.76471
1700112946,10000112,30Yr fixed,360,0.0530,22/04/2017,22/04/2047,250000,0.7500,"£1,388.27",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700113591,10000113,5/1 ARM,360,0.0620,23/04/2017,23/04/2047,250000,0.8000,"£1,531.18",01/02/2023,£694.45,84,276,312500,62500
1700113667,10000114,15Yr fixed,360,0.0635,24/04/2017,24/04/2047,600000,0.9000,"£3,733.42",01/02/2023,"£1,666.67",84,276,666666.6667,66666.66667
1700114088,10000115,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60000,0.7500,£403.22,01/02/2023,£166.67,349,11,80000,20000
1700114094,10000116,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60015,0.7500,£403.32,01/02/2023,£166.71,349,11,80020,20005
1700114851,10000117,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60030,0.7500,£403.43,01/02/2023,£166.76,349,11,80040,20010
1700116154,10000118,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60045,0.7500,£403.53,01/02/2023,£166.80,349,11,80060,20015
1700117723,10000119,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60060,0.7500,£403.63,01/02/2023,£166.84,349,11,80080,20020
1700120705,10000120,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60075,0.7500,£403.73,01/02/2023,£166.88,349,11,80100,20025
1700120707,10000121,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60090,0.7500,£403.83,01/02/2023,£166.92,349,11,80120,20030
1700122119,10000122,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60105,0.7500,£403.93,01/02/2023,£166.96,349,11,80140,20035
1700126348,10000123,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60120,0.7500,£404.03,01/02/2023,£167.01,349,11,80160,20040
1700126693,10000124,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60135,0.7500,£404.13,01/02/2023,£167.05,349,11,80180,20045
1700128222,10000125,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60150,0.7500,£404.23,01/02/2023,£167.09,349,11,80200,20050
1700128361,10000126,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60165,0.7500,£404.33,01/02/2023,£167.13,349,11,80220,20055
1700131183,10000127,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60180,0.7500,£404.43,01/02/2023,£167.17,349,11,80240,20060
1700131229,10000128,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60195,0.7500,£404.53,01/02/2023,£167.21,349,11,80260,20065
1700131230,10000129,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60210,0.7500,£404.64,01/02/2023,£167.26,349,11,80280,20070
1700131232,10000130,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60225,0.7500,£404.74,01/02/2023,£167.30,349,11,80300,20075
1700131236,10000131,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60240,0.7500,£404.84,01/02/2023,£167.34,349,11,80320,20080
1700131254,10000132,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60255,0.7500,£404.94,01/02/2023,£167.38,349,11,80340,20085
1700131301,10000133,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60270,0.7500,£405.04,01/02/2023,£167.42,349,11,80360,20090
1700132217,10000134,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60285,0.7500,£405.14,01/02/2023,£167.46,349,11,80380,20095
1700132226,10000135,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60300,0.7500,£405.24,01/02/2023,£167.51,349,11,80400,20100
1700132305,10000136,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60315,0.7500,£405.34,01/02/2023,£167.55,349,11,80420,20105
1700132383,10000137,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60330,0.7500,£405.44,01/02/2023,£167.59,349,11,80440,20110
1700132440,10000138,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60345,0.7500,£405.54,01/02/2023,£167.63,349,11,80460,20115
1700133384,10000139,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60360,0.7500,£405.64,01/02/2023,£167.67,349,11,80480,20120
1700133447,10000140,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60375,0.7500,£405.74,01/02/2023,£167.71,349,11,80500,20125
1700133660,10000141,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60390,0.7500,£405.85,01/02/2023,£167.76,349,11,80520,20130
1700133764,10000142,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60405,0.7500,£405.95,01/02/2023,£167.80,349,11,80540,20135
1700134240,10000143,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60420,0.7500,£406.05,01/02/2023,£167.84,349,11,80560,20140
1700135484,10000144,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60435,0.7500,£406.15,01/02/2023,£167.88,349,11,80580,20145
1700136214,10000145,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60450,0.7500,£406.25,01/02/2023,£167.92,349,11,80600,20150
1700136255,10000146,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60465,0.7500,£406.35,01/02/2023,£167.96,349,11,80620,20155
1700137065,10000147,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60480,0.7500,£406.45,01/02/2023,£168.01,349,11,80640,20160
1700137253,10000148,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60495,0.7500,£406.55,01/02/2023,£168.05,349,11,80660,20165
1700138327,10000149,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60510,0.7500,£406.65,01/02/2023,£168.09,349,11,80680,20170
1700139481,10000150,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60525,0.7500,£406.75,01/02/2023,£168.13,349,11,80700,20175
1700141171,10000151,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60540,0.7500,£406.85,01/02/2023,£168.17,349,11,80720,20180
1700141950,10000152,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60555,0.7500,£406.95,01/02/2023,£168.21,349,11,80740,20185
1700142614,10000153,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60570,0.7500,£407.05,01/02/2023,£168.26,349,11,80760,20190
1700143047,10000154,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60585,0.7500,£407.16,01/02/2023,£168.30,349,11,80780,20195
1700143310,10000155,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60600,0.7500,£407.26,01/02/2023,£168.34,349,11,80800,20200
1700143548,10000156,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60615,0.7500,£407.36,01/02/2023,£168.38,349,11,80820,20205
1700143722,10000157,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60630,0.7500,£407.46,01/02/2023,£168.42,349,11,80840,20210
1700144007,10000158,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60645,0.7500,£407.56,01/02/2023,£168.46,349,11,80860,20215
1700148289,10000159,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60660,0.7500,£407.66,01/02/2023,£168.51,349,11,80880,20220
1700151542,10000160,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60675,0.7500,£407.76,01/02/2023,£168.55,349,11,80900,20225
1700151998,10000161,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60690,0.7500,£407.86,01/02/2023,£168.59,349,11,80920,20230
1700153693,10000162,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60705,0.7500,£407.96,01/02/2023,£168.63,349,11,80940,20235
1700154159,10000163,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60720,0.7500,£408.06,01/02/2023,£168.67,349,11,80960,20240
1700155930,10000164,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60735,0.7500,£408.16,01/02/2023,£168.71,349,11,80980,20245
1700155932,10000165,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60750,0.7500,£408.26,01/02/2023,£168.76,349,11,81000,20250
1700155952,10000166,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60765,0.7500,£408.37,01/02/2023,£168.80,349,11,81020,20255
1700155995,10000167,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60780,0.7500,£408.47,01/02/2023,£168.84,349,11,81040,20260
1700157845,10000168,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60795,0.7500,£408.57,01/02/2023,£168.88,349,11,81060,20265
1700158402,10000169,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60810,0.7500,£408.67,01/02/2023,£168.92,349,11,81080,20270
1700158409,10000170,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60825,0.7500,£408.77,01/02/2023,£168.96,349,11,81100,20275
1700158962,10000171,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60840,0.7500,£408.87,01/02/2023,£169.01,349,11,81120,20280
1700162590,10000172,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60855,0.7500,£408.97,01/02/2023,£169.05,349,11,81140,20285
1700163324,10000173,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60870,0.7500,£409.07,01/02/2023,£169.09,349,11,81160,20290
1700163875,10000174,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60885,0.7500,£409.17,01/02/2023,£169.13,349,11,81180,20295
1700163987,10000175,30Yr fixed,360,0.0710,01/01/1994,01/01/2024,60900,0.7500,£409.27,01/02/2023,£169.17,349,11,81200,20300
