ecad_id,Asset_id,Program/product,term,Mortgage Outstanding Balance,Rate/margin,Disbursment Data ( start MTG Date),Completion Data ( Closing MTG Date),Initial Borrow capital,Loan to Value,Monthly repayment,Next due payment date,Monthly capital repayment with zero interest,Months already paid,Months due paid,Property Valuation,Customer Initial deposit
1700055479,10000028,30Yr fixed,360,"£243,032.96",5.30%,28/01/2017,28/01/2047,317000,75%,"£1,760.32",28/01/2023,£880.56,84,276,422666.6667,105666.6667
1700055814,10000029,5/1 ARM,360,"£582,665.92",6.20%,29/01/2017,29/01/2047,760000,80%,"£4,654.77",29/01/2023,"£2,111.12",84,276,950000,190000
1700056017,10000030,15Yr fixed,360,"£191,666.20",6.35%,30/01/2017,30/01/2047,250000,90%,"£1,555.59",30/01/2023,£694.45,84,276,277777.7778,27777.77778
1700056360,10000031,30Yr fixed,360,"£191,666.20",5.30%,31/01/2017,31/01/2047,250000,85%,"£1,388.27",31/01/2023,£694.45,84,276,294117.6471,44117.64706
1700057110,10000032,5/1 ARM,360,"£229,999.44",6.20%,01/02/2017,01/02/2047,300000,75%,"£1,837.41",01/02/2023,£833.34,84,276,400000,100000
1700057166,10000033,15Yr fixed,360,"£279,833.24",6.35%,02/02/2017,02/02/2047,365000,80%,"£2,271.17",02/02/2023,"£1,013.89",84,276,456250,91250
1700057306,10000034,30Yr fixed,360,"£306,665.92",5.30%,03/02/2017,03/02/2047,400000,90%,"£2,221.22",03/02/2023,"£1,111.12",84,276,444444.4444,44444.44444
1700057763,10000035,5/1 ARM,360,"£191,666.20",6.20%,04/02/2017,04/02/2047,250000,85%,"£1,531.18",04/02/2023,£694.45,84,276,294117.6471,44117.64706
1700059739,10000036,15Yr fixed,360,"£344,999.16",6.35%,05/02/2017,05/02/2047,450000,75%,"£2,800.07",05/02/2023,"£1,250.01",84,276,600000,150000
1700059759,10000037,30Yr fixed,360,"£191,666.20",5.30%,06/02/2017,06/02/2047,250000,80%,"£1,388.27",06/02/2023,£694.45,84,276,312500,62500
1700061658,10000038,5/1 ARM,360,"£191,666.20",6.20%,07/02/2017,07/02/2047,250000,90%,"£1,531.18",07/02/2023,£694.45,84,276,277777.7778,27777.77778
1700063764,10000039,15Yr fixed,360,"£459,999.72",6.35%,08/02/2017,08/02/2047,600000,85%,"£3,733.42",08/02/2023,"£1,666.67",84,276,705882.3529,105882.3529
1700063873,10000040,30Yr fixed,360,"£191,666.20",5.30%,09/02/2017,09/02/2047,250000,75%,"£1,388.27",09/02/2023,£694.45,84,276,333333.3333,83333.33333
1700064971,10000041,5/1 ARM,360,"£192,049.44",6.20%,10/02/2017,10/02/2047,250500,80%,"£1,534.24",10/02/2023,£695.84,84,276,313125,62625
1700065499,10000042,15Yr fixed,360,"£264,499.44",6.35%,11/02/2017,11/02/2047,345000,90%,"£2,146.72",11/02/2023,£958.34,84,276,383333.3333,38333.33333
1700067964,10000043,30Yr fixed,360,"£243,032.96",5.30%,12/02/2017,12/02/2047,317000,85%,"£1,760.32",12/02/2023,£880.56,84,276,372941.1765,55941.17647
1700068180,10000044,5/1 ARM,360,"£582,665.92",6.20%,13/02/2017,13/02/2047,760000,75%,"£4,654.77",13/02/2023,"£2,111.12",84,276,1013333.333,253333.3333
1700069702,10000045,15Yr fixed,360,"£191,666.20",6.35%,14/02/2017,14/02/2047,250000,80%,"£1,555.59",14/02/2023,£694.45,84,276,312500,62500
1700070521,10000046,30Yr fixed,360,"£191,666.20",5.30%,15/02/2017,15/02/2047,250000,90%,"£1,388.27",15/02/2023,£694.45,84,276,277777.7778,27777.77778
1700070658,10000047,5/1 ARM,360,"£229,999.44",6.20%,16/02/2017,16/02/2047,300000,85%,"£1,837.41",16/02/2023,£833.34,84,276,352941.1765,52941.17647
1700071937,10000048,15Yr fixed,360,"£279,833.24",6.35%,17/02/2017,17/02/2047,365000,75%,"£2,271.17",17/02/2023,"£1,013.89",84,276,486666.6667,121666.6667
1700071945,10000049,30Yr fixed,360,"£306,665.92",5.30%,18/02/2017,18/02/2047,400000,80%,"£2,221.22",18/02/2023,"£1,111.12",84,276,500000,100000
1700072566,10000050,5/1 ARM,360,"£191,666.20",6.20%,19/02/2017,19/02/2047,250000,90%,"£1,531.18",19/02/2023,£694.45,84,276,277777.7778,27777.77778
1700073339,10000051,15Yr fixed,360,"£344,999.16",6.35%,20/02/2017,20/02/2047,450000,85%,"£2,800.07",20/02/2023,"£1,250.01",84,276,529411.7647,79411.76471
1700073357,10000052,30Yr fixed,360,"£191,666.20",5.30%,21/02/2017,21/02/2047,250000,75%,"£1,388.27",21/02/2023,£694.45,84,276,333333.3333,83333.33333
1700073513,10000053,5/1 ARM,360,"£191,666.20",6.20%,22/02/2017,22/02/2047,250000,80%,"£1,531.18",22/02/2023,£694.45,84,276,312500,62500
1700074342,10000054,15Yr fixed,360,"£459,999.72",6.35%,23/02/2017,23/02/2047,600000,90%,"£3,733.42",23/02/2023,"£1,666.67",84,276,666666.6667,66666.66667
1700075229,10000055,30Yr fixed,360,"£191,666.20",5.30%,24/02/2017,24/02/2047,250000,85%,"£1,388.27",24/02/2023,£694.45,84,276,294117.6471,44117.64706
1700075315,10000056,5/1 ARM,360,"£192,049.44",6.20%,25/02/2017,25/02/2047,250500,75%,"£1,534.24",25/02/2023,£695.84,84,276,334000,83500
1700075639,10000057,15Yr fixed,360,"£264,499.44",6.35%,26/02/2017,26/02/2047,345000,80%,"£2,146.72",26/02/2023,£958.34,84,276,431250,86250
1700076690,10000058,30Yr fixed,360,"£243,032.96",5.30%,27/02/2017,27/02/2047,317000,90%,"£1,760.32",27/02/2023,£880.56,84,276,352222.2222,35222.22222
1700077970,10000059,5/1 ARM,360,"£582,665.92",6.20%,28/02/2017,28/02/2047,760000,85%,"£4,654.77",28/02/2023,"£2,111.12",84,276,894117.6471,134117.6471
1700078299,10000060,15Yr fixed,360,"£191,666.20",6.35%,01/03/2017,01/03/2047,250000,75%,"£1,555.59",01/03/2023,£694.45,84,276,333333.3333,83333.33333
1700079491,10000061,30Yr fixed,360,"£191,666.20",5.30%,02/03/2017,02/03/2047,250000,80%,"£1,388.27",02/03/2023,£694.45,84,276,312500,62500
1700079794,10000062,5/1 ARM,360,"£229,999.44",6.20%,03/03/2017,03/03/2047,300000,90%,"£1,837.41",03/03/2023,£833.34,84,276,333333.3333,33333.33333
1700082302,10000063,15Yr fixed,360,"£279,833.24",6.35%,04/03/2017,04/03/2047,365000,85%,"£2,271.17",04/03/2023,"£1,013.89",84,276,429411.7647,64411.76471
1700082847,10000064,30Yr fixed,360,"£306,665.92",5.30%,05/03/2017,05/03/2047,400000,75%,"£2,221.22",05/03/2023,"£1,111.12",84,276,533333.3333,133333.3333
1700083383,10000065,5/1 ARM,360,"£191,666.20",6.20%,06/03/2017,06/03/2047,250000,80%,"£1,531.18",06/03/2023,£694.45,84,276,312500,62500
1700085072,10000066,15Yr fixed,360,"£344,999.16",6.35%,07/03/2017,07/03/2047,450000,90%,"£2,800.07",07/03/2023,"£1,250.01",84,276,500000,50000
1700085109,10000067,30Yr fixed,360,"£191,666.20",5.30%,08/03/2017,08/03/2047,250000,85%,"£1,388.27",08/03/2023,£694.45,84,276,294117.6471,44117.64706
1700086973,10000068,5/1 ARM,360,"£191,666.20",6.20%,09/03/2017,09/03/2047,250000,75%,"£1,531.18",09/03/2023,£694.45,84,276,333333.3333,83333.33333
1700087055,10000069,15Yr fixed,360,"£459,999.72",6.35%,10/03/2017,10/03/2047,600000,80%,"£3,733.42",10/03/2023,"£1,666.67",84,276,750000,150000
1700088354,10000070,30Yr fixed,360,"£191,666.20",5.30%,11/03/2017,11/03/2047,250000,90%,"£1,388.27",11/03/2023,£694.45,84,276,277777.7778,27777.77778
1700089450,10000071,5/1 ARM,360,"£192,049.44",6.20%,12/03/2017,12/03/2047,250500,85%,"£1,534.24",12/03/2023,£695.84,84,276,294705.8824,44205.88235
1700089610,10000072,15Yr fixed,360,"£264,499.44",6.35%,13/03/2017,13/03/2047,345000,75%,"£2,146.72",13/03/2023,£958.34,84,276,460000,115000
1700090001,10000073,30Yr fixed,360,"£243,032.96",5.30%,14/03/2017,14/03/2047,317000,80%,"£1,760.32",14/03/2023,£880.56,84,276,396250,79250
1700090496,10000074,5/1 ARM,360,"£582,665.92",6.20%,15/03/2017,15/03/2047,760000,90%,"£4,654.77",15/03/2023,"£2,111.12",84,276,844444.4444,84444.44444
1700090498,10000075,15Yr fixed,360,"£191,666.20",6.35%,16/03/2017,16/03/2047,250000,85%,"£1,555.59",16/03/2023,£694.45,84,276,294117.6471,44117.64706
1700092546,10000076,30Yr fixed,360,"£191,666.20",5.30%,17/03/2017,17/03/2047,250000,75%,"£1,388.27",17/03/2023,£694.45,84,276,333333.3333,83333.33333
1700093081,10000077,5/1 ARM,360,"£229,999.44",6.20%,18/03/2017,18/03/2047,300000,80%,"£1,837.41",18/03/2023,£833.34,84,276,375000,75000
1700094405,10000078,15Yr fixed,360,"£279,833.24",6.35%,19/03/2017,19/03/2047,365000,90%,"£2,271.17",19/03/2023,"£1,013.89",84,276,405555.5556,40555.55556
1700094406,10000079,30Yr fixed,360,"£306,665.92",5.30%,20/03/2017,20/03/2047,400000,85%,"£2,221.22",20/03/2023,"£1,111.12",84,276,470588.2353,70588.23529
1700097267,10000080,5/1 ARM,360,"£191,666.20",6.20%,21/03/2017,21/03/2047,250000,75%,"£1,531.18",21/03/2023,£694.45,84,276,333333.3333,83333.33333
1700097996,10000081,15Yr fixed,360,"£344,999.16",6.35%,22/03/2017,22/03/2047,450000,80%,"£2,800.07",22/03/2023,"£1,250.01",84,276,562500,112500
1700102317,10000082,30Yr fixed,360,"£191,666.20",5.30%,23/03/2017,23/03/2047,250000,90%,"£1,388.27",23/03/2023,£694.45,84,276,277777.7778,27777.77778
1700102529,10000083,5/1 ARM,360,"£191,666.20",6.20%,24/03/2017,24/03/2047,250000,85%,"£1,531.18",24/03/2023,£694.45,84,276,294117.6471,44117.64706
1700104160,10000084,15Yr fixed,360,"£459,999.72",6.35%,25/03/2017,25/03/2047,600000,75%,"£3,733.42",25/03/2023,"£1,666.67",84,276,800000,200000
1700106491,10000085,30Yr fixed,360,"£191,666.20",5.30%,26/03/2017,26/03/2047,250000,80%,"£1,388.27",26/03/2023,£694.45,84,276,312500,62500
1700106524,10000086,5/1 ARM,360,"£192,049.44",6.20%,27/03/2017,27/03/2047,250500,90%,"£1,534.24",27/03/2023,£695.84,84,276,278333.3333,27833.33333
1700106616,10000087,15Yr fixed,360,"£264,499.44",6.35%,28/03/2017,28/03/2047,345000,85%,"£2,146.72",28/03/2023,£958.34,84,276,405882.3529,60882.35294
1700106621,10000088,30Yr fixed,360,"£243,032.96",5.30%,29/03/2017,29/03/2047,317000,75%,"£1,760.32",29/03/2023,£880.56,84,276,422666.6667,105666.6667
1700106889,10000089,5/1 ARM,360,"£582,665.92",6.20%,30/03/2017,30/03/2047,760000,80%,"£4,654.77",30/03/2023,"£2,111.12",84,276,950000,190000
1700107529,10000090,15Yr fixed,360,"£191,666.20",6.35%,31/03/2017,31/03/2047,250000,90%,"£1,555.59",31/03/2023,£694.45,84,276,277777.7778,27777.77778
1700107786,10000091,30Yr fixed,360,"£191,666.20",5.30%,01/04/2017,01/04/2047,250000,85%,"£1,388.27",01/04/2023,£694.45,84,276,294117.6471,44117.64706
1700108137,10000092,5/1 ARM,360,"£229,999.44",6.20%,02/04/2017,02/04/2047,300000,75%,"£1,837.41",02/04/2023,£833.34,84,276,400000,100000
1700108737,10000093,15Yr fixed,360,"£279,833.24",6.35%,03/04/2017,03/04/2047,365000,80%,"£2,271.17",03/04/2023,"£1,013.89",84,276,456250,91250
1700109442,10000094,30Yr fixed,360,"£306,665.92",5.30%,04/04/2017,04/04/2047,400000,90%,"£2,221.22",04/04/2023,"£1,111.12",84,276,444444.4444,44444.44444
1700110005,10000095,5/1 ARM,360,"£191,666.20",6.20%,05/04/2017,05/04/2047,250000,85%,"£1,531.18",05/04/2023,£694.45,84,276,294117.6471,44117.64706
1700110442,10000096,15Yr fixed,360,"£344,999.16",6.35%,06/04/2017,06/04/2047,450000,75%,"£2,800.07",06/04/2023,"£1,250.01",84,276,600000,150000
1700110643,10000097,30Yr fixed,360,"£191,666.20",5.30%,07/04/2017,07/04/2047,250000,80%,"£1,388.27",07/04/2023,£694.45,84,276,312500,62500
1700111117,10000098,5/1 ARM,360,"£191,666.20",6.20%,08/04/2017,08/04/2047,250000,90%,"£1,531.18",08/04/2023,£694.45,84,276,277777.7778,27777.77778
1700111121,10000099,15Yr fixed,360,"£459,999.72",6.35%,09/04/2017,09/04/2047,600000,85%,"£3,733.42",09/04/2023,"£1,666.67",84,276,705882.3529,105882.3529
1700111263,10000100,30Yr fixed,360,"£191,666.20",5.30%,10/04/2017,10/04/2047,250000,75%,"£1,388.27",10/04/2023,£694.45,84,276,333333.3333,83333.33333
1700111453,10000101,5/1 ARM,360,"£192,049.44",6.20%,11/04/2017,11/04/2047,250500,80%,"£1,534.24",11/04/2023,£695.84,84,276,313125,62625
1700111454,10000102,15Yr fixed,360,"£264,499.44",6.35%,12/04/2017,12/04/2047,345000,90%,"£2,146.72",12/04/2023,£958.34,84,276,383333.3333,38333.33333
1700111593,10000103,30Yr fixed,360,"£243,032.96",5.30%,13/04/2017,13/04/2047,317000,85%,"£1,760.32",13/04/2023,£880.56,84,276,372941.1765,55941.17647
1700112166,10000104,5/1 ARM,360,"£582,665.92",6.20%,14/04/2017,14/04/2047,760000,75%,"£4,654.77",14/04/2023,"£2,111.12",84,276,1013333.333,253333.3333
1700112272,10000105,15Yr fixed,360,"£191,666.20",6.35%,15/04/2017,15/04/2047,250000,80%,"£1,555.59",15/04/2023,£694.45,84,276,312500,62500
1700112273,10000106,30Yr fixed,360,"£191,666.20",5.30%,16/04/2017,16/04/2047,250000,90%,"£1,388.27",16/04/2023,£694.45,84,276,277777.7778,27777.77778
1700112274,10000107,5/1 ARM,360,"£229,999.44",6.20%,17/04/2017,17/04/2047,300000,85%,"£1,837.41",17/04/2023,£833.34,84,276,352941.1765,52941.17647
1700112349,10000108,15Yr fixed,360,"£279,833.24",6.35%,18/04/2017,18/04/2047,365000,75%,"£2,271.17",18/04/2023,"£1,013.89",84,276,486666.6667,121666.6667
1700112350,10000109,30Yr fixed,360,"£306,665.92",5.30%,19/04/2017,19/04/2047,400000,80%,"£2,221.22",19/04/2023,"£1,111.12",84,276,500000,100000
1700112912,10000110,5/1 ARM,360,"£191,666.20",6.20%,20/04/2017,20/04/2047,250000,90%,"£1,531.18",20/04/2023,£694.45,84,276,277777.7778,27777.77778
1700112944,10000111,15Yr fixed,360,"£344,999.16",6.35%,21/04/2017,21/04/2047,450000,85%,"£2,800.07",21/04/2023,"£1,250.01",84,276,529411.7647,79411.76471
1700112946,10000112,30Yr fixed,360,"£191,666.20",5.30%,22/04/2017,22/04/2047,250000,75%,"£1,388.27",22/04/2023,£694.45,84,276,333333.3333,83333.33333
1700113591,10000113,5/1 ARM,360,"£191,666.20",6.20%,23/04/2017,23/04/2047,250000,80%,"£1,531.18",23/04/2023,£694.45,84,276,312500,62500
1700113667,10000114,15Yr fixed,360,"£459,999.72",6.35%,24/04/2017,24/04/2047,600000,90%,"£3,733.42",24/04/2023,"£1,666.67",84,276,666666.6667,66666.66667
1700114088,,,,,,,,,,,,,,,,
1700114094,,,,,,,,,,,,,,,,
1700114851,,,,,,,,,,,,,,,,
1700116154,,,,,,,,,,,,,,,,
1700117723,,,,,,,,,,,,,,,,
1700120705,,,,,,,,,,,,,,,,
1700120707,,,,,,,,,,,,,,,,
1700122119,,,,,,,,,,,,,,,,
1700126348,,,,,,,,,,,,,,,,
1700126693,,,,,,,,,,,,,,,,
1700128222,,,,,,,,,,,,,,,,
1700128361,,,,,,,,,,,,,,,,
1700131183,,,,,,,,,,,,,,,,
1700131229,,,,,,,,,,,,,,,,
1700131230,,,,,,,,,,,,,,,,
1700131232,,,,,,,,,,,,,,,,
1700131236,,,,,,,,,,,,,,,,
1700131254,,,,,,,,,,,,,,,,
1700131301,,,,,,,,,,,,,,,,
1700132217,,,,,,,,,,,,,,,,
1700132226,,,,,,,,,,,,,,,,
1700132305,,,,,,,,,,,,,,,,
1700132383,,,,,,,,,,,,,,,,
1700132440,,,,,,,,,,,,,,,,
1700133384,,,,,,,,,,,,,,,,
1700133447,,,,,,,,,,,,,,,,
1700133660,,,,,,,,,,,,,,,,
1700133764,,,,,,,,,,,,,,,,
1700134240,,,,,,,,,,,,,,,,
1700135484,,,,,,,,,,,,,,,,
1700136214,,,,,,,,,,,,,,,,
1700136255,,,,,,,,,,,,,,,,
1700137065,,,,,,,,,,,,,,,,
1700137253,,,,,,,,,,,,,,,,
1700138327,,,,,,,,,,,,,,,,
1700139481,,,,,,,,,,,,,,,,
1700141171,,,,,,,,,,,,,,,,
1700141950,,,,,,,,,,,,,,,,
1700142614,,,,,,,,,,,,,,,,
1700143047,,,,,,,,,,,,,,,,
1700143310,,,,,,,,,,,,,,,,
1700143548,,,,,,,,,,,,,,,,
1700143722,,,,,,,,,,,,,,,,
1700144007,,,,,,,,,,,,,,,,
1700148289,,,,,,,,,,,,,,,,
1700151542,,,,,,,,,,,,,,,,
1700151998,,,,,,,,,,,,,,,,
1700153693,,,,,,,,,,,,,,,,
1700154159,,,,,,,,,,,,,,,,
1700155930,,,,,,,,,,,,,,,,
1700155932,,,,,,,,,,,,,,,,
1700155952,,,,,,,,,,,,,,,,
1700155995,,,,,,,,,,,,,,,,
1700157845,,,,,,,,,,,,,,,,
1700158402,,,,,,,,,,,,,,,,
1700158409,,,,,,,,,,,,,,,,
1700158962,,,,,,,,,,,,,,,,
1700162590,,,,,,,,,,,,,,,,
1700163324,,,,,,,,,,,,,,,,
1700163875,,,,,,,,,,,,,,,,
1700163987,,,,,,,,,,,,,,,,
1700164532,,,,,,,,,,,,,,,,
1700165460,,,,,,,,,,,,,,,,
1700165531,,,,,,,,,,,,,,,,
1700165532,,,,,,,,,,,,,,,,
1700165592,,,,,,,,,,,,,,,,
1700165903,,,,,,,,,,,,,,,,
1700165924,,,,,,,,,,,,,,,,
1700166453,,,,,,,,,,,,,,,,
1700166468,,,,,,,,,,,,,,,,
1700166482,,,,,,,,,,,,,,,,
1700167316,,,,,,,,,,,,,,,,
1700167318,,,,,,,,,,,,,,,,
1700167770,,,,,,,,,,,,,,,,
1700170012,,,,,,,,,,,,,,,,
1700171455,,,,,,,,,,,,,,,,
1700171982,,,,,,,,,,,,,,,,
1700173290,,,,,,,,,,,,,,,,
1700174044,,,,,,,,,,,,,,,,
1700174340,,,,,,,,,,,,,,,,
1700175243,,,,,,,,,,,,,,,,
1700175692,,,,,,,,,,,,,,,,
1700176089,,,,,,,,,,,,,,,,
1700176555,,,,,,,,,,,,,,,,
1700179033,,,,,,,,,,,,,,,,
1700183999,,,,,,,,,,,,,,,,
1700185151,,,,,,,,,,,,,,,,
1700185318,,,,,,,,,,,,,,,,
1700185561,,,,,,,,,,,,,,,,
1700186067,,,,,,,,,,,,,,,,
1700186264,,,,,,,,,,,,,,,,
1700186656,,,,,,,,,,,,,,,,
1700189497,,,,,,,,,,,,,,,,
1700191255,,,,,,,,,,,,,,,,
1700191262,,,,,,,,,,,,,,,,
1700191275,,,,,,,,,,,,,,,,
1700192514,,,,,,,,,,,,,,,,
1700193662,,,,,,,,,,,,,,,,
1700193906,,,,,,,,,,,,,,,,
1700194263,,,,,,,,,,,,,,,,
1700194561,,,,,,,,,,,,,,,,
1700194800,,,,,,,,,,,,,,,,
1700199065,,,,,,,,,,,,,,,,
1700202011,,,,,,,,,,,,,,,,
1700203874,,,,,,,,,,,,,,,,
1700205938,,,,,,,,,,,,,,,,
1700205941,,,,,,,,,,,,,,,,
1700206078,,,,,,,,,,,,,,,,
1700206637,,,,,,,,,,,,,,,,
1700208466,,,,,,,,,,,,,,,,
1700208526,,,,,,,,,,,,,,,,
1700209464,,,,,,,,,,,,,,,,
1700210029,,,,,,,,,,,,,,,,
1700210477,,,,,,,,,,,,,,,,
1700212725,,,,,,,,,,,,,,,,
1700212821,,,,,,,,,,,,,,,,
1700215178,,,,,,,,,,,,,,,,
1700215211,,,,,,,,,,,,,,,,
1700215871,,,,,,,,,,,,,,,,
1700216389,,,,,,,,,,,,,,,,
1700219061,,,,,,,,,,,,,,,,
1700220806,,,,,,,,,,,,,,,,
1700222943,,,,,,,,,,,,,,,,
1700223833,,,,,,,,,,,,,,,,
1700224439,,,,,,,,,,,,,,,,
1700224469,,,,,,,,,,,,,,,,
1700224991,,,,,,,,,,,,,,,,
1700225000,,,,,,,,,,,,,,,,
1700225453,,,,,,,,,,,,,,,,
1700225742,,,,,,,,,,,,,,,,
1700226761,,,,,,,,,,,,,,,,
1700228230,,,,,,,,,,,,,,,,
1700228634,,,,,,,,,,,,,,,,
1700230323,,,,,,,,,,,,,,,,
1700231210,,,,,,,,,,,,,,,,
1700231442,,,,,,,,,,,,,,,,
1700231444,,,,,,,,,,,,,,,,
1700231656,,,,,,,,,,,,,,,,
1700232108,,,,,,,,,,,,,,,,
1700232109,,,,,,,,,,,,,,,,
1700232125,,,,,,,,,,,,,,,,
1700232126,,,,,,,,,,,,,,,,
1700232128,,,,,,,,,,,,,,,,
1700232522,,,,,,,,,,,,,,,,
1700235982,,,,,,,,,,,,,,,,
1700239672,,,,,,,,,,,,,,,,
1700239675,,,,,,,,,,,,,,,,
1700239746,,,,,,,,,,,,,,,,
1700240895,,,,,,,,,,,,,,,,
1700242522,,,,,,,,,,,,,,,,
1700242821,,,,,,,,,,,,,,,,
1700242942,,,,,,,,,,,,,,,,
1700244231,,,,,,,,,,,,,,,,
1700244695,,,,,,,,,,,,,,,,
1700245154,,,,,,,,,,,,,,,,
1700245552,,,,,,,,,,,,,,,,
1700245928,,,,,,,,,,,,,,,,
1700245976,,,,,,,,,,,,,,,,
1700246984,,,,,,,,,,,,,,,,
1700247429,,,,,,,,,,,,,,,,
1700248361,,,,,,,,,,,,,,,,
1700249286,,,,,,,,,,,,,,,,
1700250342,,,,,,,,,,,,,,,,
1700250615,,,,,,,,,,,,,,,,
1700251451,,,,,,,,,,,,,,,,
1700252042,,,,,,,,,,,,,,,,
1700252665,,,,,,,,,,,,,,,,
1700253415,,,,,,,,,,,,,,,,
1700253538,,,,,,,,,,,,,,,,
1700253912,,,,,,,,,,,,,,,,
1700255023,,,,,,,,,,,,,,,,
1700255257,,,,,,,,,,,,,,,,
1700258196,,,,,,,,,,,,,,,,
1700258218,,,,,,,,,,,,,,,,
1700259729,,,,,,,,,,,,,,,,
1700260525,,,,,,,,,,,,,,,,
1700260793,,,,,,,,,,,,,,,,
1700260796,,,,,,,,,,,,,,,,
1700262891,,,,,,,,,,,,,,,,
1700262979,,,,,,,,,,,,,,,,
